Antrenor;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
İ.ALTINÖZ;33;7;2;3;21.21;36.36
K.ELALDI;33;1;3;2;3.03;18.18
G.TURAN;33;0;1;0;0.0;3.03
M.ÇİÇEK;32;4;1;3;12.5;25.0
F.DEMİR;32;2;2;8;6.25;37.5
C.GÖNÜLTAŞ;32;5;5;4;15.62;43.75
SAB.ARSLAN;32;5;1;0;15.62;18.75
M.KANAT;32;0;2;5;0.0;21.88
A.GÜLLÜ;32;3;0;3;9.38;18.75
FATİ.ŞEN;32;1;6;2;3.12;28.12
BAY.AKTAŞ;32;2;2;1;6.25;15.62
H. ÇELİK;32;4;6;5;12.5;46.88
O.GÖRMEZ;31;3;2;1;9.68;19.35
BUR.ARSLAN;31;4;4;3;12.9;35.48
R.KARATAŞ;31;4;2;1;12.9;22.58
İ.AKMEŞE;31;6;7;5;19.35;58.06
S.Z.A.MİNASOĞLU;31;4;3;2;12.9;29.03
S.TEKDOĞAN;31;3;3;4;9.68;32.26
H.GÖNÜLTAŞ;31;0;1;4;0.0;16.13
ŞÜK. ÇELİK;31;1;2;3;3.23;19.35
A.DEMİRKIRAN;30;2;4;2;6.67;26.67
B.DAĞ;30;4;5;4;13.33;43.33
H.HATUNOĞLU;30;1;2;1;3.33;13.33
S.BAKIR;30;2;4;1;6.67;23.33
S.AYDEMİR;30;0;0;5;0.0;16.67
R.A.TEKELİ;29;0;0;1;0.0;3.45
F.E.AKIL;29;5;2;5;17.24;41.38
Mİ.ER;29;2;1;1;6.9;13.79
M.ANAT;29;7;2;4;24.14;44.83
M.Y.AKKEYİK;29;0;4;4;0.0;27.59
Z.B.DURGUN;29;0;1;3;0.0;13.79
H.ATAŞ;29;2;6;4;6.9;41.38
N.ATEŞ;29;5;4;1;17.24;34.48
M.GÜNDÜZ;29;4;5;0;13.79;31.03
B.KOCAKAYA;28;4;1;4;14.29;32.14
K.BER.TUTAL;28;1;2;1;3.57;14.29
H.ŞİMŞEK;28;1;3;2;3.57;21.43
B.H.TOSUN;28;1;2;0;3.57;10.71
G.GÖKÇE;28;0;1;5;0.0;21.43
M.ŞEFKAT;27;4;5;0;14.81;33.33
ES.YILDIRIM;27;5;1;3;18.52;33.33
SERH.YILDIRIM;26;1;2;6;3.85;34.62
N.GÜNDÜZ;26;4;1;3;15.38;30.77
F.DİZDAROĞLU;26;0;1;1;0.0;7.69
S.MUTLU;26;1;2;1;3.85;15.38
V.KARAKAYA;26;2;3;0;7.69;19.23
T.TURAN;26;7;3;4;26.92;53.85
M.SOYKUVVET;26;1;2;0;3.85;11.54
H.ALTUNBAŞ;25;5;6;4;20.0;60.0
E.ŞAHİNKAYA;25;0;1;2;0.0;12.0
S.KOÇAK;25;0;1;3;0.0;16.0
A.KARABIYIK;25;2;3;1;8.0;24.0
Ç.AYDIN;24;2;4;2;8.33;33.33
H.ÇELİK;24;3;3;4;12.5;41.67
E.MUTLU;24;8;3;2;33.33;54.17
B.GÖRMEZ;24;0;3;6;0.0;37.5
M.ÖZ;24;4;3;4;16.67;45.83
O.ÖZPUYLAT;23;2;2;2;8.7;26.09
ŞYD.GÜMÜŞ;23;1;1;0;4.35;8.7
T.ATAÇ;23;0;3;1;0.0;17.39
M.GÜMÜŞKOLAN;23;2;3;4;8.7;39.13
M.SANDIKCI;23;4;4;0;17.39;34.78
U.TEMUÇİN;23;0;2;2;0.0;17.39
A.CİĞER;23;8;4;3;34.78;65.22
M.PEKİN;23;2;4;2;8.7;34.78
O.SEZİK;23;1;7;2;4.35;43.48
Y.POLAT;23;2;2;2;8.7;26.09
C.POLAT;23;0;0;3;0.0;13.04
SER.CEYLAN;22;3;3;2;13.64;36.36
Y.PETEK;22;2;2;4;9.09;36.36
